epoch,step,test/AP/B1,test/AP/B2,test/AP/B3,test/AP/B4,test/F1,test/loss,test/mAP_50,test/mAP_50_95,test/mAP_75,test/mAR,test/precision,test/recall,train/cardinality_error,train/cardinality_error_0,train/cardinality_error_1,train/cardinality_error_2,train/cardinality_error_enc,train/class_error,train/loss,train/loss_bbox,train/loss_bbox_0,train/loss_bbox_1,train/loss_bbox_2,train/loss_bbox_enc,train/loss_ce,train/loss_ce_0,train/loss_ce_1,train/loss_ce_2,train/loss_ce_enc,train/loss_giou,train/loss_giou_0,train/loss_giou_1,train/loss_giou_2,train/loss_giou_enc,train/lr,train/lr_max,train/lr_min,val/AP/B1,val/AP/B2,val/AP/B3,val/AP/B4,val/F1,val/cardinality_error,val/cardinality_error_0,val/cardinality_error_1,val/cardinality_error_2,val/cardinality_error_enc,val/class_error,val/ema_mAP_50,val/ema_mAP_50_95,val/ema_mAR,val/loss,val/loss_bbox,val/loss_bbox_0,val/loss_bbox_1,val/loss_bbox_2,val/loss_bbox_enc,val/loss_ce,val/loss_ce_0,val/loss_ce_1,val/loss_ce_2,val/loss_ce_enc,val/loss_giou,val/loss_giou_0,val/loss_giou_1,val/loss_giou_2,val/loss_giou_enc,val/mAP_50,val/mAP_50_95,val/mAP_75,val/mAR,val/precision,val/recall
5,1127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.39740151166915894,0.21938776969909668,0.253328412771225,0.1430182307958603,0.5685985684394836,295.12127685546875,295.31683349609375,294.5296936035156,295.22772216796875,295.3291931152344,31.436975479125977,0.563830554485321,0.25768372416496277,0.5427031517028809,8.420381546020508,0.03945610299706459,0.04050491377711296,0.0401669479906559,0.039747223258018494,0.04207242652773857,0.8697736859321594,0.8811930418014526,0.8666927814483643,0.8687509894371033,0.8736352920532227,0.30100369453430176,0.3038210868835449,0.3050220310688019,0.3021956980228424,0.3132566809654236,0.549138605594635,0.2532839775085449,0.19404390454292297,0.5299111008644104,0.5105045437812805,0.6445387601852417
5,1127,,,,,,,,,,,,,3895.295166015625,3894.828125,3891.88671875,3894.471435546875,3895.3623046875,27.67206382751465,8.27824878692627,0.041733887046575546,0.043026600033044815,0.04215679690241814,0.042004212737083435,0.04558532312512398,0.8600258231163025,0.8713354468345642,0.8609259724617004,0.8593900203704834,0.8676878213882446,0.2837638854980469,0.28823232650756836,0.28564006090164185,0.28447961807250977,0.3010563850402832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.37836724519729614,0.2134009152650833,0.24112270772457123,0.14460551738739014,0.5712487101554871,295.31683349609375,295.3193054199219,295.2796936035156,295.3242492675781,295.3291931152344,30.62363624572754,0.5636255145072937,0.2558642327785492,0.5365020036697388,8.618038177490234,0.04262696951627731,0.043365731835365295,0.04260540381073952,0.042579133063554764,0.04826819524168968,0.864009439945221,0.8832182884216309,0.8654618859291077,0.8654794692993164,0.8723920583724976,0.3135251998901367,0.31374475359916687,0.3128548562526703,0.3119570016860962,0.3330436646938324,0.5510389804840088,0.2443740963935852,0.18337412178516388,0.5201966762542725,0.5360895991325378,0.6152754426002502
6,1315,,,,,,,,,,,,,3895.170166015625,3894.96435546875,3891.56494140625,3894.951171875,3895.403564453125,27.032262802124023,8.246261596679688,0.041679464280605316,0.04299360513687134,0.04239627718925476,0.04179728403687477,0.04567316174507141,0.8534728288650513,0.863634467124939,0.8534189462661743,0.8548945784568787,0.864972710609436,0.2830509543418884,0.288146436214447,0.28605547547340393,0.28316017985343933,0.3011718988418579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.39171549677848816,0.2161320447921753,0.24410192668437958,0.15431688725948334,0.5674223303794861,293.76239013671875,292.4801940917969,294.30694580078125,294.3737487792969,295.3291931152344,31.661884307861328,0.566974401473999,0.2567499876022339,0.5327786207199097,8.507890701293945,0.041054271161556244,0.04197647050023079,0.04198376461863518,0.0414109006524086,0.0436430349946022,0.8672125935554504,0.8780189156532288,0.8629647493362427,0.8652419447898865,0.8729950785636902,0.3077238202095032,0.30973413586616516,0.31081217527389526,0.3087909519672394,0.31849655508995056,0.5553409457206726,0.2515665888786316,0.19277475774288177,0.5313402414321899,0.5302165150642395,0.611369788646698
7,1503,,,,,,,,,,,,,3894.106689453125,3894.034912109375,3891.15625,3894.770263671875,3895.296630859375,26.592914581298828,8.17457389831543,0.04161386936903,0.04254857823252678,0.042207010090351105,0.0417385958135128,0.04507126659154892,0.8449999094009399,0.8568932414054871,0.8450974225997925,0.8455234169960022,0.8559730052947998,0.2819642424583435,0.2844972014427185,0.28428900241851807,0.2823876142501831,0.29695674777030945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3761131465435028,0.2074272185564041,0.2481166571378708,0.155995175242424,0.576320230960846,294.69305419921875,295.23760986328125,293.5,294.7598876953125,295.3291931152344,30.50830078125,0.5643513202667236,0.2577233910560608,0.529327929019928,8.510965347290039,0.04178022965788841,0.04243260622024536,0.04239534214138985,0.041653089225292206,0.04299278184771538,0.8622828722000122,0.8708332777023315,0.8595966100692749,0.8628861308097839,0.8696830868721008,0.31098440289497375,0.31295445561408997,0.31289568543434143,0.310245543718338,0.3176265358924866,0.5545282959938049,0.24691304564476013,0.1783764511346817,0.5218055248260498,0.5409396886825562,0.6248860359191895
8,1691,,,,,,,,,,,,,3893.780029296875,3893.693115234375,3888.04443359375,3892.826171875,3895.398681640625,25.624317169189453,8.090723037719727,0.0403449647128582,0.04128583148121834,0.04091561958193779,0.04054013267159462,0.043477825820446014,0.8402929902076721,0.854483962059021,0.8405779004096985,0.840721070766449,0.8550291657447815,0.2785685658454895,0.28139668703079224,0.2808826267719269,0.2793468236923218,0.2932031750679016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3912632167339325,0.210953950881958,0.24593068659305573,0.16291417181491852,0.5599111914634705,292.1262512207031,292.98760986328125,288.4752502441406,293.92327880859375,295.3291931152344,32.28139114379883,0.5698771476745605,0.2603546380996704,0.5349281430244446,8.528899192810059,0.0411360040307045,0.04172203317284584,0.04151178151369095,0.04112641513347626,0.04318097233772278,0.8729925155639648,0.891474723815918,0.8725996017456055,0.8702731132507324,0.8823414444923401,0.30707135796546936,0.3087477684020996,0.30819791555404663,0.3075614273548126,0.3163378834724426,0.5553674101829529,0.2527655065059662,0.1894635260105133,0.547954797744751,0.5070074796676636,0.6287089586257935
9,1879,,,,,,,,,,,,,3892.055419921875,3893.767333984375,3878.15869140625,3892.25439453125,3895.382568359375,25.359947204589844,8.10707950592041,0.040855903178453445,0.0418434701859951,0.04142051190137863,0.04100567102432251,0.044265396893024445,0.8415650129318237,0.8542230725288391,0.8416853547096252,0.8419961929321289,0.8550856709480286,0.2782956063747406,0.28148630261421204,0.280658483505249,0.278749942779541,0.2935938537120819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.39079737663269043,0.2162981480360031,0.24553531408309937,0.15233108401298523,0.5669083595275879,294.71533203125,295.0,294.1460266113281,294.82177734375,295.3291931152344,30.823747634887695,0.568284273147583,0.25731560587882996,0.5296581983566284,8.487394332885742,0.039827559143304825,0.040662217885255814,0.04074934124946594,0.04037471488118172,0.04282424598932266,0.8713595867156982,0.8805785179138184,0.8675808906555176,0.8671417236328125,0.8854056596755981,0.3052964508533478,0.3065739572048187,0.3095427453517914,0.30771753191947937,0.31743746995925903,0.5578591227531433,0.25124049186706543,0.1942445933818817,0.5229960083961487,0.5081247091293335,0.6421495079994202
10,2067,,,,,,,,,,,,,3885.81982421875,3887.87841796875,3866.515625,3883.445068359375,3895.3798828125,24.344951629638672,8.029010772705078,0.040243882685899734,0.041093844920396805,0.04066048189997673,0.04052671417593956,0.0436490960419178,0.8314716815948486,0.8461103439331055,0.8327122926712036,0.8300420641899109,0.8471967577934265,0.27634546160697937,0.2797793447971344,0.2786330282688141,0.2777281403541565,0.292817622423172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,2099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,2149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,2199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,2249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,2255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.39241304993629456,0.20558932423591614,0.23565888404846191,0.15100915729999542,0.5702022314071655,293.4133605957031,293.8762512207031,293.8688049316406,293.6905822753906,295.3291931152344,31.406394958496094,0.5595846176147461,0.2528691589832306,0.5266247391700745,8.562228202819824,0.04228724539279938,0.042972031980752945,0.04228105768561363,0.04241003841161728,0.04362829029560089,0.8616725206375122,0.8723922371864319,0.8654336929321289,0.8611301183700562,0.8769345283508301,0.31421369314193726,0.31587937474250793,0.3130086064338684,0.31453725695610046,0.3207472562789917,0.5520568490028381,0.2461676001548767,0.18961454927921295,0.5108147859573364,0.5384700894355774,0.6090508103370667
