wave_rank,shortlist_rank,selection_stage,priority_rank,record_id,doi,title,year,venue,authors,abstract,source_databases,query_ids,abstract_available,abstract_screen_confidence,abstract_screen_basis,priority_score,core_score,fruit_score,oil_palm_score,instance_score,review_score,transfer_score,penalty_score,priority_tier,priority_bucket,priority_reason,priority_penalties,rule_version,review_status,retrieval_status,ledger_decision,ledger_review_order
25,33,quota:transfer_mechanism,33,R-9eb0f0c7b1a9c041,10.48550/arxiv.2412.00692,MCBLT: Multi-Camera Multi-Object 3D Tracking in Long Videos,2024,arXiv (Cornell University),Yizhou Wang; Tim Meinhardt; Orcun Cetintas; Cheng-Yen Yang,"Object perception from multi-view cameras is crucial for intelligent systems, particularly in indoor environments, e.g., warehouses, retail stores, and hospitals. Most traditional multi-target multi-camera (MTMC) detection and tracking methods rely on 2D object detection, single-view multi-object tracking (MOT), and cross-view re-identification (ReID) techniques, without properly handling important 3D information by multi-view image aggregation. In this paper, we propose a 3D object detection and tracking framework, named MCBLT, which first aggregates multi-view images with necessary camera calibration parameters to obtain 3D object detections in bird's-eye view (BEV). Then, we introduce hierarchical graph neural networks (GNNs) to track these 3D detections in BEV for MTMC tracking results. Unlike existing methods, MCBLT has impressive generalizability across different scenes and diverse camera settings, with exceptional capability for long-term association handling. As a result, our proposed MCBLT establishes a new state-of-the-art on the AICity'24 dataset with $81.22$ HOTA, and on the WildTrack dataset with $95.6$ IDF1.",OpenAlex,Q2,yes,medium,retain because of mechanism signal: object or instance perception; full-text review required,192,97,0,0,23,36,28,0,D,transfer_mechanism,re-identification; cross-view association; tracking identity; instance perception; quantitative evaluation; prior review; benchmark or dataset; transfer identity mechanism,,priority-v1.0-title-abstract-scored-diversified,pending,pending,pending,2195
26,35,quota:transfer_mechanism,35,R-e677c55287a60c53,10.1109/iv47402.2020.9304685,SiaNMS: Non-Maximum Suppression with Siamese Networks for Multi-Camera 3D Object Detection,2020,"IEEE Intelligent Vehicles Symposium, Proceedings","Cortes, Irene (57215361413); Beltran, Jorge (57201860819); De La Escalera, Arturo (6602500615); Garcia, Fernando (14015459700)","The rapid development of embedded hardware in autonomous vehicles broadens their computational capabilities, thus bringing the possibility to mount more complete sensor setups able to handle driving scenarios of higher complexity. As a result, new challenges such as multiple detections of the same object have to be addressed. In this work, a siamese network is integrated into the pipeline of a well-known 3D object detector approach to suppress duplicate proposals coming from different cameras via re-identification. Additionally, associations are exploited to enhance the 3D box regression of the object by aggregating their corresponding LiDAR frustums. The experimental evaluation on the nuScenes dataset shows that the proposed method outperforms traditional NMS approaches.",Scopus;OpenAlex,Q2,yes,medium,retain because of mechanism signal: object or instance perception; full-text review required,191,130,0,0,18,12,20,0,D,transfer_mechanism,duplicate resolution; re-identification; cross-view association; depth or point cloud; instance perception; benchmark or dataset; transfer geometry mechanism,,priority-v1.0-title-abstract-scored-diversified,pending,pending,pending,1923
27,36,quota:transfer_mechanism,36,R-4faf7f3a7fe2befa,10.3390/agriculture15020175,Automated Phenotypic Analysis of Mature Soybean Using Multi-View Stereo 3D Reconstruction and Point Cloud Segmentation,2025,Agriculture (Switzerland),"Cui, Daohan (59527617600); Liu, Pengfei (59527832500); Liu, Yunong (59528046500); Zhao, Zhenqing (56403609400); Feng, Jiang (55632375400)","Phenotypic analysis of mature soybeans is a critical aspect of soybean breeding. However, manually obtaining phenotypic parameters not only is time-consuming and labor intensive but also lacks objectivity. Therefore, there is an urgent need for a rapid, accurate, and efficient method to collect the phenotypic parameters of soybeans. This study develops a novel pipeline for acquiring the phenotypic traits of mature soybeans based on three-dimensional (3D) point clouds. First, soybean point clouds are obtained using a multi-view stereo 3D reconstruction method, followed by preprocessing to construct a dataset. Second, a deep learning-based network, PVSegNet (Point Voxel Segmentation Network), is proposed specifically for segmenting soybean pods and stems. This network enhances feature extraction capabilities through the integration of point cloud and voxel convolution, as well as an orientation-encoding (OE) module. Finally, phenotypic parameters such as stem diameter, pod length, and pod width are extracted and validated against manual measurements. Experimental results demonstrate that the average Intersection over Union (IoU) for semantic segmentation is 92.10%, with a precision of 96.38%, recall of 95.41%, and F1-score of 95.87%. For instance segmentation, the network achieves an average precision (AP@50) of 83.47% and an average recall (AR@50) of 87.07%. These results indicate the feasibility of the network for the instance segmentation of pods and stems. In the extraction of plant parameters, the predicted values of pod width, pod length, and stem diameter obtained through the phenotypic extraction method exhibit coefficients of determination (R2) of 0.9489, 0.9182, and 0.9209, respectively, with manual measurements. This demonstrates that our method can significantly improve efficiency and accuracy, contributing to the application of automated 3D point cloud analysis technology in soybean breeding.",Scopus;OpenAlex,Q3,yes,medium,retain because of mechanism signal: object or instance perception; full-text review required,190,76,30,18,23,12,20,0,D,transfer_mechanism,cross-view association; 3D reconstruction; depth or point cloud; ripeness or variety attribute; fruit target; instance perception; quantitative evaluation; benchmark or dataset,,priority-v1.0-title-abstract-scored-diversified,pending,pending,pending,827
28,37,quota:transfer_mechanism,37,R-63ab442b8f619685,10.1109/wacv56688.2023.00168,MEVID: Multi-view Extended Videos with Identities for Video Person Re-Identification,2023,"Proceedings - 2023 IEEE Winter Conference on Applications of Computer Vision, WACV 2023","Davila, Daniel (57438714100); Du, Dawei (56875150100); Lewis, Bryon (57985872300); Funk, Christopher (57191070045); Van Pelt, Joseph (57985652800); Collins, Roderic (7403347573); Corona, Kellie (57221631591); Brown, Matt (57197410231); McCloskey, Scott (16178263100); Hoogs, Anthony (6603254299); Clipp, Brian (24758169600)","In this paper, we present the Multi-view Extended Videos with Identities (MEVID) dataset for large-scale, video person re-identification (ReID) in the wild. To our knowledge, MEVID represents the most-varied video person ReID dataset, spanning an extensive indoor and outdoor environment across nine unique dates in a 73-day window, various camera viewpoints, and entity clothing changes. Specifically, we label the identities of 158 unique people wearing 598 outfits taken from 8, 092 tracklets, average length of about 590 frames, seen in 33 camera views from the very-large-scale MEVA person activities dataset. While other datasets have more unique identities, MEVID emphasizes a richer set of information about each individual, such as: 4 outfits/identity vs. 2 outfits/identity in CCVID, 33 viewpoints across 17 locations vs. 6 in 5 simulated locations for MTA, and 10 million frames vs. 3 million for LS-VID. Being based on the MEVA video dataset, we also inherit data that is intentionally demographically balanced to the continental United States. To accelerate the annotation process, we developed a semi-automatic annotation framework and GUI that combines state-of-the-art real-time models for object detection, pose estimation, person ReID, and multi-object tracking. We evaluate several state-of-the-art methods on MEVID challenge problems and comprehensively quantify their robustness in terms of changes of outfit, scale, and background location. Our quantitative analysis on the realistic, unique aspects of MEVID shows that there are significant remaining challenges in video person ReID and indicates important directions for future research.",Scopus;OpenAlex,Q2,yes,medium,retain because of mechanism signal: object or instance perception; full-text review required,190,97,0,0,18,36,28,0,D,transfer_mechanism,re-identification; cross-view association; tracking identity; instance perception; prior review; benchmark or dataset; transfer identity mechanism,,priority-v1.0-title-abstract-scored-diversified,pending,pending,pending,2101
29,38,quota:transfer_mechanism,38,R-40534686590e87e7,10.1117/12.2500776,Multi-camera object tracking via deep metric learning,2018,Proceedings of SPIE - The International Society for Optical Engineering,"He, Wanggui (58431522700); Tao, Wei (44761394300); Sun, Keyang (57203317376); Xu, Lingzhi (57190384983); Fu, Qinwei (57203322134); Zhao, Hui (55715792700)","Multi-camera multi-object tracking problem shares the difficulties of both multi-camera information fusion and multiobject data association across time. Top view enjoys nice properties for object detection and tracking, such as information completeness and no occlusion. This paper utilizes the properties to address this problem by transferring object representation to a ‘top view’ from multiple partial views, hence converts multi-camera tracking problem into a singlecamera one. To this end, a detector was applied on each single partial view image firstly. After that, to obtain the representation of these detection resultsin a common top view, we first introduce the ‘real top view supervised transferring’ method, in which, a network was used to transfer the detection-bounding box in partial view to real top view. However, this method depends on top view image as supervision signal during training. We investigate further to eliminate the dependency, so here came the virtual top view, which is in essence a hyperspace. A convolutional network and triplet loss were used to map an object with its position in each partial view to a vector in the hyperspace and supervises the learning of representation respectively. Finally, by applying cluster algorithm on the transferred representation of object in the top view, the information from multiple partial cameras was fused and unified. Tracking on the top view can be formulated as a data association problem, which can be solved by traditional assignment algorithms. Experiment results on our own dataset and EPFL dataset[1] showed the effectiveness of the proposed methods.",Scopus;OpenAlex,Q2,yes,medium,retain because of mechanism signal: object or instance perception; full-text review required,189,85,30,0,23,12,28,0,D,transfer_mechanism,cross-view association; association; tracking identity; fruit target; instance perception; quantitative evaluation; benchmark or dataset; transfer identity mechanism,,priority-v1.0-title-abstract-scored-diversified,pending,pending,pending,2567
30,39,quota:prior_review_or_positioning,39,R-635c3776f6bd1d1e,10.3389/fpls.2025.1646871,A review of visual perception technology for intelligent fruit harvesting robots,2025,Frontiers in Plant Science,"Huang, Yikun (57209641036); Xu, Shuyan (57196076055); Chen, Hao (57216148656); Li, Gang (60081246700); Dong, Heng (56924175700); Yu, Jie (58738163300); Zhang, Xi (60081713600); Chen, Riqing (56924036300)","With the development of smart agriculture, fruit picking robots have attracted widespread attention as one of the key technologies to improve agricultural productivity. Visual perception technology plays a crucial role in fruit picking robots, involving precise fruit identification, localization, and grasping operations. This paper reviews the research progress in the visual perception technology for fruit picking robots, focusing on key technologies such as camera types used in picking robots, object detection techniques, picking point recognition and localization, active vision, and visual servoing. First, the paper introduces the application characteristics and selection criteria of different camera types in the fruit picking process. Then, it analyzes how object detection techniques help robots accurately recognize fruits and achieve efficient fruit classification. Next, it discusses the picking point recognition and localization technologies, including vision-based 3D reconstruction and depth sensing methods. Subsequently, it elaborates on the adaptability of active vision technology in dynamic environments and how visual servoing technology achieves precise localization. Additionally, the review explores robot mobility perception technologies, focusing on V-SLAM, mobile path planning, and task scheduling. These technologies enhance harvesting efficiency across the entire orchard and facilitate better collaboration among multiple robots. Finally, the paper summarizes the challenges in current research and the future development trends, aiming to provide references for the optimization and promotion of fruit picking robot technology.",Scopus;OpenAlex,Q5,yes,medium,retain because of mechanism signal: object or instance perception; full-text review required,189,24,64,0,18,24,48,0,D,prior_review_or_positioning,3D reconstruction; fruit target; horticultural setting; fruit instance operation; instance perception; prior review; transfer identity mechanism; transfer geometry mechanism,,priority-v1.0-title-abstract-scored-diversified,pending,pending,pending,8431
31,40,quota:prior_review_or_positioning,40,R-9a1ffe91177d0074,10.48048/tis.2026.13227,Deep Learning for Ripeness Grading of Oil Palm Fresh Fruit Bunches: A Comprehensive Review of Convolutional Neural Network Approaches,2026,Trends in Sciences,"Syahputra, Wahyu Nurkholis Hadi (57223049216); Chaichana, Chatchawan (6505945297); Bundhurat, Damorn (36677015300); Wuttisarnwattana, Patiwet (58745980500); Putra, Bayu Taruna Widjaja (57193233025)","Palm oil is a strategic agricultural crop in Indonesia, Malaysia, and Thailand, contributing significantly to national economies and requiring continuous improvements in harvesting efficiency and mill operations. The growing demand for higher efficiency and consistent quality in palm oil mills has accelerated the adoption of advanced technologies, particularly artificial intelligence (AI), which is increasingly applied across agricultural sectors, including oil palm production. This review aims to examine the development of convolutional neural network (CNN)-based approaches for ripeness grading of oil palm fresh fruit bunches (FFB) using CNN techniques. It provides an overview of research trends and technical progress in this field, showing that Malaysia leads scientific publications related to palm oil ripeness detection, followed by Indonesia. Most existing studies employ 1-stage object detectors, especially YOLO-based architectures, due to their real-time capability and relatively high performance. However, these methods are often trained and evaluated using datasets limited to specific environments, plantation conditions, or fruit varieties, which constrains generalization and large-scale deployment. Key research gaps are identified, including limited dataset diversity, high computational requirements, insufficient integration with Internet of Things (IoT)–based plantation and mill management systems, and the lack of real-time estimation of quality indicators such as free fatty acid (FFA) content and kernel-related attributes. Future research directions highlight the need for multimodal sensing, multi-camera systems, and multi-task learning frameworks that integrate ripeness grading with oil extraction rate (OER) estimation to support more effective operational decision-making in palm oil production systems. HIGHLIGHTS Research on CNN in palm oil has increased since 2017 with the adoption of DL. Malaysia leads publications in palm oil ripeness research, followed by Indonesia and Thailand. One-stage detectors, particularly YOLO-based models, are most commonly used for real-time grading. Most CNN-based systems rely on external visual features for ripeness classification. Multimodal approaches for real-time biochemical assessment remain limited. GRAPHICAL ABSTRACT",Scopus;OpenAlex,Q5;Q6,yes,medium,retain because of mechanism signal: broad visual target-operation evidence; full-text review required,189,30,40,54,18,36,0,0,D,prior_review_or_positioning,cross-view association; oil-palm target; ripeness or variety attribute; fruit target; horticultural setting; instance perception; prior review; benchmark or dataset,,priority-v1.0-title-abstract-scored-diversified,pending,pending,pending,79
32,42,quota:transfer_mechanism,42,R-e85ba04928603b1c,10.3390/make8020039,Visual Perception and Robust Autonomous Following for Orchard Transportation Robots Based on DeepDIMP-ReID,2026,Machine Learning and Knowledge Extraction,"Shen, Renyuan (57227669600); Wang, Yong (60417210600); Liu, Huaiyang (58782406100); Gu, Haiyang (57811562300); Geng, Changxing (35336460500); Shi, Yun (55349546900)","Dense foliage, severe illumination variations, and interference from multiple individuals with similar appearances in complex orchard environments pose significant challenges for vision-based following robots in maintaining persistent target perception and identity consistency, thereby compromising the stability and safety of fruit transportation operations. To address these challenges, we propose a novel framework, DeepDIMP-ReID, which integrates the Deep Implicit Model Prediction (DIMP) tracker with a person re-identification (ReID) module based on EfficientNet. This visual perception and autonomous following framework is designed for differential-drive orchard transportation robots, aiming to achieve robust target perception and reliable identity maintenance in unstructured orchard settings. The proposed framework adopts a hierarchical perception–verification–control architecture. Visual tracking and three-dimensional localization are jointly achieved using synchronized color and depth data acquired from a RealSense camera, where target regions are obtained via the discriminative model prediction (DIMP) method and refined through an elliptical-mask-based depth matching strategy. Front obstacle detection is performed using DBSCAN-based point cloud clustering techniques. To suppress erroneous following caused by occlusion, target switching, or target reappearance after occlusion, an enhanced HOReID person re-identification module with an EfficientNet backbone is integrated for identity verification at critical decision points. Based on the verified perception results, a state-driven motion control strategy is employed to ensure safe and continuous autonomous following. Extensive long-term experiments conducted in real orchard environments demonstrate that the proposed system achieves a correct tracking rate exceeding 94% under varying human walking speeds, with an average localization error of 0.071 m. In scenarios triggering re-identification, a target discrimination success rate of 93.3% is obtained. These results confirm the effectiveness and robustness of the proposed framework for autonomous fruit transportation in complex orchard environments.",Scopus;OpenAlex,Q3,yes,medium,retain because of mechanism signal: broad visual target-operation evidence; full-text review required,188,89,40,0,0,0,48,0,D,transfer_mechanism,re-identification; tracking identity; depth or point cloud; fruit target; horticultural setting; transfer identity mechanism; transfer geometry mechanism,,priority-v1.0-title-abstract-scored-diversified,pending,pending,pending,7862
33,43,quota:transfer_mechanism,43,R-f2af892518919301,10.48550/arxiv.2002.08239,siaNMS: Non-Maximum Suppression with Siamese Networks for Multi-Camera\n 3D Object Detection,2020,arXiv (Cornell University),"Irene Cortés; Jorge Beltrán; de la Escalera, Arturo; Fernando García","The rapid development of embedded hardware in autonomous vehicles broadens\ntheir computational capabilities, thus bringing the possibility to mount more\ncomplete sensor setups able to handle driving scenarios of higher complexity.\nAs a result, new challenges such as multiple detections of the same object have\nto be addressed. In this work, a siamese network is integrated into the\npipeline of a well-known 3D object detector approach to suppress duplicate\nproposals coming from different cameras via re-identification. Additionally,\nassociations are exploited to enhance the 3D box regression of the object by\naggregating their corresponding LiDAR frustums. The experimental evaluation on\nthe nuScenes dataset shows that the proposed method outperforms traditional NMS\napproaches.\n",OpenAlex,Q2,yes,medium,retain because of mechanism signal: object or instance perception; full-text review required,188,130,0,0,18,12,20,0,D,transfer_mechanism,duplicate resolution; re-identification; cross-view association; depth or point cloud; instance perception; benchmark or dataset; transfer geometry mechanism,,priority-v1.0-title-abstract-scored-diversified,pending,pending,pending,1928
34,44,quota:transfer_mechanism,44,R-8051b63712213dd2,10.48550/arxiv.2211.04656,MEVID: Multi-view Extended Videos with Identities for Video Person Re-Identification,2022,arXiv (Cornell University),Daniel Dávila; Dawei Du; Bryon Lewis; Christopher Funk,"In this paper, we present the Multi-view Extended Videos with Identities (MEVID) dataset for large-scale, video person re-identification (ReID) in the wild. To our knowledge, MEVID represents the most-varied video person ReID dataset, spanning an extensive indoor and outdoor environment across nine unique dates in a 73-day window, various camera viewpoints, and entity clothing changes. Specifically, we label the identities of 158 unique people wearing 598 outfits taken from 8, 092 tracklets, average length of about 590 frames, seen in 33 camera views from the very large-scale MEVA person activities dataset. While other datasets have more unique identities, MEVID emphasizes a richer set of information about each individual, such as: 4 outfits/identity vs. 2 outfits/identity in CCVID, 33 viewpoints across 17 locations vs. 6 in 5 simulated locations for MTA, and 10 million frames vs. 3 million for LS-VID. Being based on the MEVA video dataset, we also inherit data that is intentionally demographically balanced to the continental United States. To accelerate the annotation process, we developed a semi-automatic annotation framework and GUI that combines state-of-the-art real-time models for object detection, pose estimation, person ReID, and multi-object tracking. We evaluate several state-of-the-art methods on MEVID challenge problems and comprehensively quantify their robustness in terms of changes of outfit, scale, and background location. Our quantitative analysis on the realistic, unique aspects of MEVID shows that there are significant remaining challenges in video person ReID and indicates important directions for future research.",OpenAlex,Q2,yes,medium,retain because of mechanism signal: object or instance perception; full-text review required,187,97,0,0,18,36,28,0,D,transfer_mechanism,re-identification; cross-view association; tracking identity; instance perception; prior review; benchmark or dataset; transfer identity mechanism,,priority-v1.0-title-abstract-scored-diversified,pending,pending,pending,2036
35,45,quota:fruit_multiview_or_3d,45,R-d20856c96561b701,10.1145/3803291.3803356,Geometry-Driven Triangulation and Differentiable Semantic Gaussian Refinement for 3D Grape Bunch Model Reconstruction in the Field,2026,ICICT 2026 - Proceedings of 2026 the 9th International Conference on Information and Computer Technologies,"Woo, Yan San (58618957500); Yok-In, Kabin (57423647000); Buayai, Prawit (57193931723); Nishizaki, Hiromitsu (7004310832); Kamarudin, Latifah Munirah (57192974774); Mao, Xiaoyang (7402841488)","Berry thinning in table-grape production requires estimating berry count and bunch structure under severe occlusion. While existing 3D reconstruction and neural rendering pipelines can recover dense geometry or enable novel view synthesis, they rarely produce compact, instance-level models for densely packed grape bunches. We propose a geometry-aware, three-stage framework that reconstructs a semantic 3D model of individual berries from handheld field video. Each berry is represented as an opaque 3D Gaussian ellipsoid with a 3D center, principal radii, and orientation. Stage 1 applies a berry detection/segmentation network together with a lightweight structure-from-motion (SfM) COLMAP method run to obtain multi-view 2D attributes (centers, circle/ellipse parameters, masks, and visibility labels) and initial camera poses; these 2D observations later act as supervision for optimizing the 3D model. Stage 2 forms multi-view tracks using epipolar constraints, azimuth-based neighborhood restriction, and radius consistency (without appearance descriptors), then triangulates and consolidates 3D berry centers via geometric gating and 3D non-maximum suppression. Stage 3 refines the compact semantic model by differentiable rendering under multi-head 2D losses, with conservative clone–prune topology updates driven by persistent unmatched evidence. On 30 real-field bunches with labelled point-cloud ground truth converted to 3D ellipsoids, the refined models achieve F1 scores of 78.7–88.5% at oriented bounding box Intersection of Union (OBB-IoU) threshold \(( \tau )\) at 0.10 and 64.5–74.9% at \(\tau = 0.25\), while Stage 3 runs in 1.8–5.1 minutes per bunch for 10–30 selected views. These results show that combining geometry-driven initialization with differentiable, instance-level refinement yields robust and interpretable per-berry 3D reconstructions from unconstrained vineyard video.",Scopus;OpenAlex,Q1;Q2;Q3,yes,medium,retain because of mechanism signal: object or instance perception; full-text review required,184,66,64,0,23,0,20,0,B,fruit_multiview_or_3d,cross-view association; 3D reconstruction; counting or inventory; fruit target; horticultural setting; fruit instance operation; instance perception; quantitative evaluation,,priority-v1.0-title-abstract-scored-diversified,pending,pending,pending,86
36,46,quota:prior_review_or_positioning,46,R-e51282524aa71650,10.3390/agriengineering7110365,A Review of Crop Attribute Monitoring Technologies for General Agricultural Scenarios,2025,AgriEngineering,"Li, Zhuofan (60211317600); Wang, Ruochen (8872034500); Ding, Renkai (57190347200)","As global agriculture shifts to intelligence and precision, crop attribute detection has become foundational for intelligent systems (harvesters, UAVs, sorters). It enables real-time monitoring of key indicators (maturity, moisture, disease) to optimize operations—reducing crop losses by 10–15% via precise cutting height adjustment—and boosts resource-use efficiency. This review targets harvesting-stage and in-field monitoring for grains, fruits, and vegetables, highlighting practical technologies: near-infrared/Raman spectroscopy (non-destructive internal attribute detection), 3D vision/LiDAR (high-precision plant height/density/fruit location measurement), and deep learning (YOLO for counting, U-Net for disease segmentation). It addresses universal field challenges (lighting variation, target occlusion, real-time demands) and actionable fixes (illumination compensation, sensor fusion, lightweight AI) to enhance stability across scenarios. Future trends prioritize real-world deployment: multi-sensor fusion (e.g., RGB + thermal imaging) for comprehensive perception, edge computing (inference delay &lt; 100 ms) to solve rural network latency, and low-cost solutions (mobile/embedded device compatibility) to lower smallholder barriers—directly supporting scalable precision agriculture and global sustainable food production.",Scopus;OpenAlex,Q3;Q5;Q7,yes,medium,retain because of mechanism signal: broad visual target-operation evidence; full-text review required,184,34,54,18,23,24,20,0,D,prior_review_or_positioning,depth or point cloud; counting or inventory; ripeness or variety attribute; fruit target; fruit instance operation; instance perception; quantitative evaluation; prior review,,priority-v1.0-title-abstract-scored-diversified,pending,pending,pending,1622
37,47,quota:core_identity_or_inventory,47,M-a6f919f991904f86,10.1016/j.compag.2026.111529,Enhanced grape tracking (using deep neural networks) with an extended matching algorithm for SORT and DeepSORT,2026,Computers and Electronics in Agriculture,"Piazolo, Jacob (60382058500); Fischer, Benedikt (58039577200); Gruna, Robin (26031444100); Beyerer, Jürgen (6603794653)","Vineyard managers traditionally count grape clusters manually for yield estimation, a process that is both time-consuming and labor-intensive. Recent advances in computer vision enable autonomous tracking, yet state-of-the-art methods often rely on re-identification networks that require expensive, hard-to-obtain instance ID annotations. This study addresses this challenge by evaluating the real-time tracking performance and counting accuracy of SORT, DeepSORT, ByteTrack, and the newly proposed SORT+ and DeepSORT+ algorithms. SORT+ and DeepSORT+ incorporate a novel matching cascade that leverages the complementary strengths of Mahalanobis, IoU, and Euclidean distances. Crucially, this approach allows SORT+ to achieve robust performance without the need for additional training data. The extended matching cascade offers large improvements for SORT, making the training-free SORT+ comparable to the deep-learning-based DeepSORT. It increases MOTA and IDF1 by 5% to 6%, while decreasing ID switches by 62%. SORT+ improves the counting accuracy from 33% to 96%. DeepSORT+ shows further performance gains, decreasing ID switches by 12% compared to DeepSORT. This work illustrates the feasibility of using unmanned aerial vehicles (UAVs) to autonomously track and count grape clusters in challenging real-world vineyard settings. By potentially improving yield estimation and non-destructive robotic farming, these findings support sustainable farming practices and economic growth.",Scopus;OpenAlex,Q1;Q7,yes,medium,"retain because of mechanism signal: target-specific detection, segmentation, tracking, or counting; full-text review required",183,79,64,0,5,24,0,0,A,core_identity_or_inventory,re-identification; tracking identity; counting or inventory; fruit target; horticultural setting; fruit instance operation; quantitative evaluation; prior review,,priority-v1.0-title-abstract-scored-diversified,pending,pending,pending,671
38,48,quota:fruit_multiview_or_3d,48,R-3d1fb766025c8cbb,10.3390/agriculture15181906,Real-Time Strawberry Ripeness Classification and Counting: An Optimized YOLOv8s Framework with Class-Aware Multi-Object Tracking,2025,Agriculture (Switzerland),"Ogundele, Oluwasegun Moses (59426471600); Tamrakar, Niraj (58995858300); Kook, Jung-Hoo (58630617000); Kim, Sang-Min (60117659000); Choi, Jeong-In (60118135700); Karki, Sijan (58630185100); Akpenpuun, Timothy Denen (57194448083); Kim, Hyeon Tae (8662923200)","Accurate fruit counting is crucial for data-driven decision-making in modern precision agriculture. In strawberry cultivation, a labor-intensive sector, automated, scalable yield estimation is especially critical. However, dense foliage, variable lighting, visual ambiguity of ripeness stages, and fruit clustering pose significant challenges. To overcome these, we developed a real-time multi-stage framework for strawberry detection and counting by optimizing a YOLOv8s detector and integrating a class-aware tracking system. The detector was enhanced with a lightweight C3x module, an additional detection head for small objects, and the Wise-IOU (WIoU) loss function, thereby improving performance against occlusion. Our final model achieved a 92.5% mAP@0.5, outperforming the baseline while reducing the number of parameters by 27.9%. This detector was integrated with the ByteTrack multiple object tracking (MOT) algorithm. Our system enabled accurate, automated fruit counting in complex greenhouse environments. When validated on video data, results showed a strong correlation with ground-truth counts (R2 = 0.914) and a low mean absolute percentage error (MAPE) of 9.52%. Counting accuracy was highest for ripe strawberries (R2 = 0.950), confirming the value for harvest-ready estimation. This work delivers an efficient, accurate, and resource-conscious solution for automated yield monitoring in commercial strawberry production.",Scopus;OpenAlex,Q1,yes,medium,retain because of mechanism signal: object or instance perception; full-text review required,183,39,64,18,23,0,28,0,B,fruit_multiview_or_3d,tracking identity; counting or inventory; ripeness or variety attribute; fruit target; horticultural setting; fruit instance operation; instance perception; quantitative evaluation,,priority-v1.0-title-abstract-scored-diversified,pending,pending,pending,1487
39,49,quota:transfer_mechanism,49,R-c82a9700605813cb,10.1145/3343031.3350933,Eye in the sky: Drone-based object tracking and 3D localization,2019,MM 2019 - Proceedings of the 27th ACM International Conference on Multimedia,"Zhang, Haotian (57211682351); Lei, Zhichao (57204547106); Wang, Gaoang (57193333173); Hwang, Jenq-Neng (7403896543)","Drones, or general UAVs, equipped with a single camera have been widely deployed to a broad range of applications, such as aerial photography, fast goods delivery and most importantly, surveillance. Despite the great progress achieved in computer vision algorithms, these algorithms are not usually optimized for dealing with images or video sequences acquired by drones, due to various challenges such as occlusion, fast camera motion and pose variation. In this paper, a drone-based multi-object tracking and 3D localization scheme is proposed based on the deep learning based object detection. We first combine a multi-object tracking method called TrackletNet Tracker (TNT) which utilizes temporal and appearance information to track detected objects located on the ground for UAV applications. Then, we are also able to localize the tracked ground objects based on the group plane estimated from the Multi-View Stereo technique. The system deployed on the drone can not only detect and track the objects in a scene, but can also localize their 3D coordinates in meters with respect to the drone camera. The experiments have proved our tracker can reliably handle most of the detected objects captured by drones and achieve favorable 3D localization performance when compared with the state-of-the-art methods.",Scopus;OpenAlex,Q2,yes,medium,retain because of mechanism signal: object or instance perception; full-text review required,182,81,0,0,18,24,48,0,D,transfer_mechanism,cross-view association; tracking identity; 3D reconstruction; instance perception; prior review; transfer identity mechanism; transfer geometry mechanism,,priority-v1.0-title-abstract-scored-diversified,pending,pending,pending,2663
